932, False, '2009', 'Pennsylvania'
933, False, '2009', 'Arizona'
934, False, '2010', 'New Jersey'
935, False, '2010', 'Maryland'
936, False, '2009', 'Pennsylvania'
937, False, '2010', 'Virginia'
938, False, '2010', 'Maryland'
939, False, '2010', 'Maryland'
940, False, '2010', 'Maryland'
941, False, '2010', 'South Carolina'
942, False, '2010', 'Virginia'
958, False, '2010', 'Kentucky'
960, False, '2010', 'Florida'
961, False, '2010', 'Ohio'
962, False, '2010', 'California'
963, False, '2010', 'Delaware'
964, False, '2010', 'Illinois'
965, False, '2010', 'Illinois'
966, False, '2009', 'Arkansas'
967, False, '2010', 'South Dakota'
968, True, '2010', 'Minnesota'
969, True, '2009', 'Arkansas'
970, False, '2010', 'California'
971, False, '2010', 'Hawaii'
972, False, '2010', 'Invalid entry'
976, False, '2010', 'Missouri'
977, False, '2010', 'Alabama'
978, False, '2010', 'Invalid entry'
979, False, '2010', 'Kansas'
981, False, '2010', 'Invalid entry'
982, False, '2010', 'Delaware'
983, False, '2010', 'Invalid entry'
984, False, '2010', 'Arizona'
986, False, '2010', 'Nevada'
987, False, '2010', 'Kansas'
990, False, '2010', 'Colorado'
991, True, '2010', 'Oklahoma'
992, False, '2010', 'Kansas'
999, False, '2010', 'Invalid entry'
1000, False, '2010', 'Florida'
1001, False, '2010', 'Massachusetts'
1002, False, '2010', 'New York'
1003, False, '2010', 'Alabama'
1004, False, '2008', 'Arizona'
1005, False, '2010', 'New Jersey'
1006, False, '2010', 'Maryland'
1007, False, '2010', 'Pennsylvania'
1008, False, '2010', 'Invalid entry'
1009, False, '2010', 'Delaware'
1010, True, '2010', 'New Jersey'
1011, False, '2010', 'New York'
1012, False, '2009', 'Pennsylvania'
1013, False, '2010', 'New Jersey'
1014, False, '2010', 'Virginia'
1015, False, '2010', 'New York'
1016, False, '2010', 'North Carolina'
1017, False, '2010', 'California'
1018, False, '2010', 'Maryland'
1030, False, '2010', 'Ohio'
1031, True, '2010', 'Alabama'
1032, False, '2010', 'Arkansas'
1033, False, '2010', 'Invalid entry'
1034, False, '2010', 'Washington'
1035, False, '2010', 'Wisconsin'
1036, False, '2010', 'Wisconsin'
1037, True, '2010', 'Indiana'
1038, False, '2010', 'Invalid entry'
1039, False, '2010', 'Missouri'
1040, False, '2010', 'Minnesota'
1041, False, '2010', 'Minnesota'
1042, False, '2010', 'Minnesota'
1043, False, '2010', 'Arkansas'
1044, False, '2010', 'Minnesota'
1045, False, '2010', 'North Dakota'
1046, False, '2010', 'Arkansas'
1047, False, '2010', 'Illinois'
1048, False, '2010', 'Arizona'
1049, False, '2010', 'California'
1050, False, '2010', 'California'
1052, False, '2010', 'Colorado'
1053, False, '2010', 'Kansas'
1054, False, '2010', 'California'
1055, False, '2010', 'Invalid entry'
1056, True, '2010', 'Colorado'
1057, False, '2010', 'Oklahoma'
1058, True, '2010', 'New Mexico'
1059, True, '2010', 'Kansas'
1060, True, '2010', 'New Mexico'
1061, False, '2010', 'Arizona'
1062, False, '2010', 'Colorado'
1063, False, '2010', 'Washington'
1064, False, '2010', 'Washington'
1065, False, '2010', 'Kansas'
1066, False, '2010', 'Colorado'
1067, False, '2010', 'California'
1068, False, '2010', 'California'
1069, False, '2010', 'California'
1070, False, '2010', 'Texas'
1071, False, '2010', 'New York'
1072, False, '2010', 'New York'
1073, True, '2010', 'California'
1074, False, '2010', 'Arizona'
1075, False, '2010', 'Maine'
1076, False, '2010', 'Delaware'
1077, False, '2010', 'Invalid entry'
1078, False, '2010', 'Invalid entry'
1079, False, '2010', 'California'
1080, True, '2010', 'Pennsylvania'
1081, False, '2010', 'New Jersey'
1082, True, '2010', 'Pennsylvania'
1083, False, '2009', 'Delaware'
1084, False, '2010', 'Illinois'
1085, True, '2010', 'Maine'
1086, False, '2010', 'South Carolina'
1087, False, '2009', 'Massachusetts'
1088, False, '2010', 'California'
